Accession	Protein names	Gene names
Q9QWY8-4	"Isoform 4 of Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1"	Asap1
Q9QWZ1	Cell cycle checkpoint protein RAD1	Rad1
Q9QWZ1-2	Isoform 2 of Cell cycle checkpoint protein RAD1	Rad1
Q9QX11	Cytohesin-1	Cyth1
Q9QX11-2	Isoform 2 of Cytohesin-1	Cyth1
Q9QX15	Calcium-activated chloride channel regulator 3A-1	Clca3a1
Q9QX29	Short transient receptor potential channel 5	Trpc5
Q9QX47	Protein SON	Son
Q9QX47-2	Isoform 2 of Protein SON	Son
Q9QX47-3	Isoform 3 of Protein SON	Son
Q9QX47-4	Isoform 4 of Protein SON	Son
Q9QX60	"Deoxyguanosine kinase, mitochondrial"	Dguok
Q9QX60-2	"Isoform 2 of Deoxyguanosine kinase, mitochondrial"	Dguok
Q9QX66	Zinc finger protein neuro-d4	Dpf1
Q9QX66-2	Isoform 2 of Zinc finger protein neuro-d4	Dpf1
Q9QX66-3	Isoform 3 of Zinc finger protein neuro-d4	Dpf1
Q9QX96	Sal-like protein 2	Sall2
Q9QX98	Pancreas transcription factor 1 subunit alpha	Ptf1a
Q9QXA1	Cysteine and histidine-rich protein 1	Cyhr1
Q9QXA1-2	Isoform 2 of Cysteine and histidine-rich protein 1	Cyhr1
Q9QXA1-3	Isoform 3 of Cysteine and histidine-rich protein 1	Cyhr1
Q9QXA1-4	Isoform 4 of Cysteine and histidine-rich protein 1	Cyhr1
Q9QXA5	U6 snRNA-associated Sm-like protein LSm4	Lsm4
Q9QXA6	"b(0,+)-type amino acid transporter 1"	Slc7a9
Q9QXA7	Tripartite motif-containing protein 44	Trim44
Q9QXB9	Developmentally-regulated GTP-binding protein 2	Drg2
Q9QXC1	Fetuin-B	Fetub
Q9QXD1	Peroxisomal acyl-coenzyme A oxidase 2	Acox2
Q9QXD6	"Fructose-1,6-bisphosphatase 1"	Fbp1
Q9QXD8	LIM domain-containing protein 1	Limd1
Q9QXE0	2-hydroxyacyl-CoA lyase 1	Hacl1
Q9QXE2	DNA polymerase lambda	Poll
Q9QXE4	Tumor protein p53-inducible nuclear protein 1	Trp53inp1
Q9QXE4-2	Isoform 2 of Tumor protein p53-inducible nuclear protein 1	Trp53inp1
Q9QXE5	Thymus-specific serine protease	Prss16
Q9QXE7	F-box-like/WD repeat-containing protein TBL1X	Tbl1x
Q9QXF8	Glycine N-methyltransferase	Gnmt
Q9QXG2	Rab proteins geranylgeranyltransferase component A 1	Chm
Q9QXG4	"Acetyl-coenzyme A synthetase, cytoplasmic"	Acss2
Q9QXG9	TERF1-interacting nuclear factor 2	Tinf2
Q9QXH4	Integrin alpha-X	Itgax
Q9QXJ1	Amyloid beta precursor protein binding family B member 1	Apbb1
Q9QXJ1-2	Isoform 2 of Amyloid beta precursor protein binding family B member 1	Apbb1
Q9QXJ4	ADP-ribosylation factor-like protein 10	Arl10
Q9QXK2	E3 ubiquitin-protein ligase RAD18	Rad18
Q9QXK3	Coatomer subunit gamma-2	Copg2
Q9QXK3-2	Isoform 2 of Coatomer subunit gamma-2	Copg2
Q9QXK3-3	Isoform 3 of Coatomer subunit gamma-2	Copg2
Q9QXK3-4	Isoform 4 of Coatomer subunit gamma-2	Copg2
Q9QXK7	Cleavage and polyadenylation specificity factor subunit 3	Cpsf3
Q9QXK8	Neuromedin-U	Nmu
Q9QXK9	SH2 domain-containing protein 2A	Sh2d2a
Q9QXK9-2	Isoform 2 of SH2 domain-containing protein 2A	Sh2d2a
Q9QXL1	Kinesin-like protein KIF21B	Kif21b
Q9QXL2	Kinesin-like protein KIF21A	Kif21a
Q9QXL2-2	Isoform 2 of Kinesin-like protein KIF21A	Kif21a
Q9QXL2-3	Isoform 3 of Kinesin-like protein KIF21A	Kif21a
Q9QXL2-4	Isoform 4 of Kinesin-like protein KIF21A	Kif21a
Q9QXL8	Nucleoside diphosphate kinase 7	Nme7
Q9QXM0	Monoacylglycerol lipase ABHD2	Abhd2
Q9QXM1	Junction-mediating and -regulatory protein	Jmy
Q9QXM1-2	Isoform 2 of Junction-mediating and -regulatory protein	Jmy
Q9QXM1-3	Isoform 3 of Junction-mediating and -regulatory protein	Jmy
Q9QXN0	Protein Shroom3	Shroom3
Q9QXN0-2	Isoform 2 of Protein Shroom3	Shroom3
Q9QXN0-3	Isoform 3 of Protein Shroom3	Shroom3
Q9QXN0-4	Isoform 4 of Protein Shroom3	Shroom3
Q9QXN3	Activating signal cointegrator 1	Trip4
Q9QXN3-2	Isoform 2 of Activating signal cointegrator 1	Trip4
Q9QXN5	Inositol oxygenase	Miox
Q9QXP0	Ammonium transporter Rh type C	Rhcg
Q9QXP4	Protein downstream neighbor of Son	Donson
Q9QXP6	E3 ubiquitin-protein ligase makorin-1	Mkrn1
Q9QXP6-2	Isoform 2 of E3 ubiquitin-protein ligase makorin-1	Mkrn1
Q9QXP7	Complement C1q tumor necrosis factor-related protein 1	C1qtnf1
Q9QXQ1	"cAMP-specific 3',5'-cyclic phosphodiesterase 7B"	Pde7b
Q9QXS1	Plectin	Plec
Q9QXS1-10	Isoform PLEC-1D of Plectin	Plec
Q9QXS1-11	"Isoform PLEC-1E,2A of Plectin"	Plec
Q9QXS1-12	Isoform PLEC-1E of Plectin	Plec
Q9QXS1-13	Isoform PLEC-1F of Plectin	Plec
Q9QXS1-14	Isoform PLEC-1G of Plectin	Plec
Q9QXS1-15	Isoform PLEC-1H of Plectin	Plec
Q9QXS1-16	Isoform PLEC-1I of Plectin	Plec
Q9QXS1-2	Isoform PLEC-1 of Plectin	Plec
Q9QXS1-3	Isoform PLEC-1A of Plectin	Plec
Q9QXS1-4	"Isoform PLEC-1B,2A of Plectin"	Plec
Q9QXS1-5	Isoform PLEC-1B of Plectin	Plec
Q9QXS1-6	"Isoform PLEC-0,1C of Plectin"	Plec
Q9QXS1-7	"Isoform PLEC-0,1C,2A of Plectin"	Plec
Q9QXS1-8	"Isoform PLEC-0,1C,2A,3A of Plectin"	Plec
Q9QXS1-9	"Isoform PLEC-1D,2A of Plectin"	Plec
Q9QXS6	Drebrin	Dbn1
Q9QXS6-2	Isoform A2 of Drebrin	Dbn1
Q9QXS6-3	Isoform E2 of Drebrin	Dbn1
Q9QXS8	Probable N-acetyltransferase CML5	Cml5
Q9QXT0	Protein canopy homolog 2	Cnpy2
Q9QXT1	Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide	Dapp1
Q9QXT5	Epidermal growth factor-like protein 7	Egfl7
Q9QXT5-2	Isoform 2 of Epidermal growth factor-like protein 7	Egfl7
Q9QXT6	Interleukin-17B	Il17b
Q9QXT8	Calsenilin	Kcnip3
Q9QXT8-2	Isoform 2 of Calsenilin	Kcnip3
Q9QXT8-3	Isoform 3 of Calsenilin	Kcnip3
Q9QXT9	Zinc finger protein 354B	Znf354b
Q9QXU7	Prokineticin-2	Prok2
Q9QXU7-2	Isoform 2 of Prokineticin-2	Prok2
Q9QXU7-3	Isoform 3 of Prokineticin-2	Prok2
Q9QXV0	ProSAAS	Pcsk1n
Q9QXV1	Chromobox protein homolog 8	Cbx8
Q9QXV3	Inhibitor of growth protein 1	Ing1
Q9QXV3-2	Isoform 2 of Inhibitor of growth protein 1	Ing1
Q9QXV8	Protein sprouty homolog 2	Spry2
Q9QXV9	Protein sprouty homolog 1	Spry1
Q9QXW0	F-box/LRR-repeat protein 6	Fbxl6
Q9QXW0-2	Isoform 2 of F-box/LRR-repeat protein 6	Fbxl6
Q9QXW0-3	Isoform 3 of F-box/LRR-repeat protein 6	Fbxl6
Q9QXW2	F-box/WD repeat-containing protein 5	Fbxw5
Q9QXW2-2	Isoform 2 of F-box/WD repeat-containing protein 5	Fbxw5
Q9QXW4	Fascin-3	Fscn3
Q9QXW9	Large neutral amino acids transporter small subunit 2	Slc7a8
Q9QXX0	Protein jagged-1	Jag1
Q9QXX3	Group 10 secretory phospholipase A2	Pla2g10
Q9QXX4	Calcium-binding mitochondrial carrier protein Aralar2	Slc25a13
Q9QXX8	Nuclear fragile X mental retardation-interacting protein 1	Nufip1
Q9QXY1	Tight junction protein ZO-3	Tjp3
Q9QXY6	EH domain-containing protein 3	Ehd3
Q9QXY7	Endoplasmic reticulum membrane adapter protein XK	Xk
Q9QXY9	Peroxisomal biogenesis factor 3	Pex3
Q9QXZ0	"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4"	Macf1
Q9QXZ0-2	"Isoform 2 of Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4"	Macf1
Q9QXZ0-3	"Isoform 3 of Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4"	Macf1
Q9QXZ0-4	"Isoform 4 of Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4"	Macf1
Q9QXZ6	Solute carrier organic anion transporter family member 1A1	Slco1a1
Q9QXZ7	Photoreceptor-specific nuclear receptor	Nr2e3
Q9QXZ9	Melanopsin	Opn4
Q9QXZ9-2	Isoform 2 of Melanopsin	Opn4
Q9QY00	Olfactory receptor 154	Olfr154
Q9QY01	Serine/threonine-protein kinase ULK2	Ulk2
Q9QY05	Insulin-like peptide INSL6	Insl6
Q9QY06	Unconventional myosin-IXb	Myo9b
Q9QY06-2	Isoform 2 of Unconventional myosin-IXb	Myo9b
Q9QY06-3	Isoform 3 of Unconventional myosin-IXb	Myo9b
Q9QY14	Forkhead box protein E3	Foxe3
Q9QY15	ATP-dependent RNA helicase DDX25	Ddx25
Q9QY15-2	Isoform 2 of ATP-dependent RNA helicase DDX25	Ddx25
Q9QY23	Plakophilin-3	Pkp3
Q9QY23-2	Isoform 2 of Plakophilin-3	Pkp3
Q9QY24	Z-DNA-binding protein 1	Zbp1
Q9QY24-2	Isoform 2 of Z-DNA-binding protein 1	Zbp1
Q9QY30	Bile salt export pump	Abcb11
Q9QY31	Zinc finger protein SNAI3	Snai3
Q9QY33	Tetraspanin-3	Tspan3
Q9QY36	N-alpha-acetyltransferase 10	Naa10
Q9QY39	PDZ domain-containing protein 4	Pdzd4
Q9QY40	Plexin-B3	Plxnb3
Q9QY42	Prosaposin receptor GPR37	Gpr37
Q9QY42-2	Isoform 2 of Prosaposin receptor GPR37	Gpr37
Q9QY42-3	Isoform 3 of Prosaposin receptor GPR37	Gpr37
Q9QY48	Deoxyribonuclease-2-beta	Dnase2b
Q9QY53	Nephrocystin-1	Nphp1
Q9QY61	Iroquois-class homeodomain protein IRX-4	Irx4
Q9QY66	Zinc finger HIT domain-containing protein 2	Znhit2
Q9QY73	Transmembrane protein 59	Tmem59
Q9QY76	Vesicle-associated membrane protein-associated protein B	Vapb
Q9QY80	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1	Hacd1
Q9QY81	Nuclear pore membrane glycoprotein 210	Nup210
Q9QY83	Actin-like protein 7B	Actl7b
Q9QY84	Actin-like protein 7A	Actl7a
Q9QY93	dCTP pyrophosphatase 1	Dctpp1
Q9QY96	Extracellular calcium-sensing receptor	Casr
Q9QY96-2	Isoform B of Extracellular calcium-sensing receptor	Casr
Q9QYA2	Mitochondrial import receptor subunit TOM40 homolog	Tomm40
Q9QYB1	Chloride intracellular channel protein 4	Clic4
Q9QYB2	Dachshund homolog 1	Dach1
Q9QYB2-2	Isoform 2 of Dachshund homolog 1	Dach1
Q9QYB5	Gamma-adducin	Add3
Q9QYB5-2	Isoform 1 of Gamma-adducin	Add3
Q9QYB8	Beta-adducin	Add2
Q9QYB8-2	Isoform 2 of Beta-adducin	Add2
Q9QYB8-3	Isoform 3 of Beta-adducin	Add2
Q9QYC0	Alpha-adducin	Add1
Q9QYC0-2	Isoform 2 of Alpha-adducin	Add1
Q9QYC1	Pecanex-like protein 1	Pcnx1
Q9QYC1-2	Isoform 2 of Pecanex-like protein 1	Pcnx1
Q9QYC3	Class A basic helix-loop-helix protein 15	Bhlha15
Q9QYC7	Vitamin K-dependent gamma-carboxylase	Ggcx
Q9QYE0	Zinc finger protein PLAG1	Plag1
Q9QYE3	B-cell lymphoma/leukemia 11A	Bcl11a
Q9QYE3-10	Isoform 2 of B-cell lymphoma/leukemia 11A	Bcl11a
Q9QYE3-11	Isoform 3 of B-cell lymphoma/leukemia 11A	Bcl11a
Q9QYE3-12	Isoform 4 of B-cell lymphoma/leukemia 11A	Bcl11a
Q9QYE3-13	Isoform 5 of B-cell lymphoma/leukemia 11A	Bcl11a
Q9QYE3-14	Isoform 6 of B-cell lymphoma/leukemia 11A	Bcl11a
Q9QYE3-15	Isoform 7 of B-cell lymphoma/leukemia 11A	Bcl11a
Q9QYE3-16	Isoform 8 of B-cell lymphoma/leukemia 11A	Bcl11a
Q9QYE5	Protein jagged-2	Jag2
Q9QYE6	Golgin subfamily A member 5	Golga5
Q9QYE9	Pleckstrin homology domain-containing family B member 1	Plekhb1
Q9QYE9-2	Isoform 2 of Pleckstrin homology domain-containing family B member 1	Plekhb1
Q9QYE9-3	Isoform 3 of Pleckstrin homology domain-containing family B member 1	Plekhb1
Q9QYE9-4	Isoform 4 of Pleckstrin homology domain-containing family B member 1	Plekhb1
Q9QYF1	Retinol dehydrogenase 11	Rdh11
Q9QYF9	Protein NDRG3	Ndrg3
Q9QYG0	Protein NDRG2	Ndrg2
Q9QYG0-2	Isoform 2 of Protein NDRG2	Ndrg2
Q9QYH6	Melanoma-associated antigen D1	Maged1
Q9QYH9	Tumor necrosis factor ligand superfamily member 14	Tnfsf14
Q9QYI3	DnaJ homolog subfamily C member 7	Dnajc7
Q9QYI4	DnaJ homolog subfamily B member 12	Dnajb12
Q9QYI5	DnaJ homolog subfamily B member 2	Dnajb2
Q9QYI5-1	Isoform 2 of DnaJ homolog subfamily B member 2	Dnajb2
Q9QYI5-2	Isoform 3 of DnaJ homolog subfamily B member 2	Dnajb2
Q9QYI6	DnaJ homolog subfamily B member 9	Dnajb9
Q9QYI7	DnaJ homolog subfamily B member 8	Dnajb8
Q9QYI8	DnaJ homolog subfamily B member 7	Dnajb7
Q9QYJ0	DnaJ homolog subfamily A member 2	Dnaja2
Q9QYJ1	"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5"	St6galnac5
Q9QYJ3	DnaJ homolog subfamily B member 1	Dnajb1
Q9QYJ7	Dual specificity protein phosphatase 13 isoform B	Dusp13
Q9QYK4	Heparan-sulfate 6-O-sulfotransferase 3	Hs6st3
Q9QYK5	Heparan-sulfate 6-O-sulfotransferase 1	Hs6st1
Q9QYK7	RING finger protein 11	Rnf11
Q9QYK9	Calcium/calmodulin-dependent protein kinase type 1B	Pnck
Q9QYL0	Spermatid-specific linker histone H1-like protein	Hils1
Q9QYL7	Activator of basal transcription 1	Abt1
Q9QYM5	Rho-related GTP-binding protein RhoN	Rnd2
Q9QYM8	Centromere protein H	Cenph
Q9QYM9	Tomoregulin-2	Tmeff2
Q9QYM9-2	Isoform 2 of Tomoregulin-2	Tmeff2
Q9QYN3	Kallikrein-11	Klk11
Q9QYN3-2	Isoform 1 of Kallikrein-11	Klk11
Q9QYP6	5-azacytidine-induced protein 2	Azi2
Q9QYP6-2	Isoform 2 of 5-azacytidine-induced protein 2	Azi2
Q9QYP6-3	Isoform 3 of 5-azacytidine-induced protein 2	Azi2
Q9QYR6	Microtubule-associated protein 1A	Map1a
Q9QYR6-2	Isoform 2 of Microtubule-associated protein 1A	Map1a
Q9QYR7	Acyl-coenzyme A thioesterase 3	Acot3
Q9QYR7-2	Isoform 2 of Acyl-coenzyme A thioesterase 3	Acot3
Q9QYR9	"Acyl-coenzyme A thioesterase 2, mitochondrial"	Acot2
Q9QYS1	Protein Wnt-16	Wnt16
Q9QYS2	Metabotropic glutamate receptor 3	Grm3
Q9QYS9	Protein quaking	Qki
Q9QYS9-2	Isoform 2 of Protein quaking	Qki
Q9QYS9-3	Isoform 3 of Protein quaking	Qki
Q9QYS9-4	Isoform 4 of Protein quaking	Qki
Q9QYS9-5	Isoform 5 of Protein quaking	Qki
Q9QYS9-6	Isoform 6 of Protein quaking	Qki
Q9QYS9-7	Isoform 7 of Protein quaking	Qki
Q9QYS9-8	Isoform 8 of Protein quaking	Qki
Q9QYT7	Phosphatidylinositol N-acetylglucosaminyltransferase subunit Q	Pigq
Q9QYX7	Protein piccolo	Pclo
Q9QYX7-2	Isoform 2 of Protein piccolo	Pclo
Q9QYY0	GRB2-associated-binding protein 1	Gab1
Q9QYY1	Interleukin-36 receptor antagonist protein	IL36RN
Q9QYY7	Endothelial cell-specific molecule 1	Esm1
Q9QYY8	Spastin	Spast
Q9QYY8-2	Isoform 2 of Spastin	Spast
Q9QYY9	All-trans-retinol dehydrogenase [NAD(+)] ADH4	Adh4
Q9QYZ3	Sperm motility kinase 2B	Smok2b
Q9QYZ4	Sperm motility kinase 1	Smok1
Q9QYZ6	Sperm motility kinase 2A	Smok2a
Q9QYZ8	Dickkopf-related protein 2	Dkk2
Q9QYZ9	Serine protease 30	Prss30
Q9QZ03	Zinc transporter ZIP1	Slc39a1
Q9QZ04	MAGE-like protein 2	Magel2
Q9QZ05	eIF-2-alpha kinase GCN2	Eif2ak4
Q9QZ05-2	Isoform 2 of eIF-2-alpha kinase GCN2	Eif2ak4
Q9QZ05-3	Isoform 3 of eIF-2-alpha kinase GCN2	Eif2ak4
Q9QZ05-4	Isoform 4 of eIF-2-alpha kinase GCN2	Eif2ak4
Q9QZ05-5	Isoform 5 of eIF-2-alpha kinase GCN2	Eif2ak4
Q9QZ05-6	Isoform 6 of eIF-2-alpha kinase GCN2	Eif2ak4
Q9QZ06	Toll-interacting protein	Tollip
Q9QZ08	N-acetyl-D-glucosamine kinase	Nagk
Q9QZ09	Protein PHTF1	Phtf1
Q9QZ10	Annexin A10	Anxa10
Q9QZ11	Exonuclease 1	Exo1
Q9QZ15	C-type lectin domain family 4 member A	Clec4a
Q9QZ23	"NFU1 iron-sulfur cluster scaffold homolog, mitochondrial"	Nfu1
Q9QZ25	Vascular non-inflammatory molecule 3	Vnn3
Q9QZ26	Potassium voltage-gated channel subfamily E regulatory beta subunit 5	Kcne5
Q9QZ28	Homeobox protein SIX6	Six6
Q9QZ29	Immunoglobulin-binding protein 1b	Igbp1b
Q9QZ39	"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1"	St6galnac1
Q9QZ41	Protein DBF4 homolog A	Dbf4
Q9QZ41-2	Isoform 2 of Protein DBF4 homolog A	Dbf4
Q9QZ41-3	Isoform 3 of Protein DBF4 homolog A	Dbf4
Q9QZ47	"Troponin T, fast skeletal muscle"	Tnnt3
Q9QZ47-10	"Isoform B3e17 of Troponin T, fast skeletal muscle"	Tnnt3
Q9QZ47-11	"Isoform B3e16 of Troponin T, fast skeletal muscle"	Tnnt3
Q9QZ47-12	"Isoform B4e17 of Troponin T, fast skeletal muscle"	Tnnt3
Q9QZ47-13	"Isoform B4e16 of Troponin T, fast skeletal muscle"	Tnnt3
Q9QZ47-14	"Isoform 14 of Troponin T, fast skeletal muscle"	Tnnt3
Q9QZ47-2	"Isoform A2e17 of Troponin T, fast skeletal muscle"	Tnnt3
Q9QZ47-3	"Isoform A3e17 of Troponin T, fast skeletal muscle"	Tnnt3
Q9QZ47-4	"Isoform A4e17 of Troponin T, fast skeletal muscle"	Tnnt3
Q9QZ47-5	"Isoform A5e17 of Troponin T, fast skeletal muscle"	Tnnt3
Q9QZ47-6	"Isoform A6e17 of Troponin T, fast skeletal muscle"	Tnnt3
Q9QZ47-7	"Isoform B1e16 of Troponin T, fast skeletal muscle"	Tnnt3
Q9QZ47-8	"Isoform B2e17 of Troponin T, fast skeletal muscle"	Tnnt3
Q9QZ47-9	"Isoform B2e16 of Troponin T, fast skeletal muscle"	Tnnt3
Q9QZ49	UBX domain-containing protein 8	Ubxn8
Q9QZ57	Heat shock protein beta-3	Hspb3
Q9QZ59	Doublesex- and mab-3-related transcription factor 1	Dmrt1
Q9QZ59-2	Isoform 2 of Doublesex- and mab-3-related transcription factor 1	Dmrt1
Q9QZ59-3	Isoform 3 of Doublesex- and mab-3-related transcription factor 1	Dmrt1
Q9QZ59-4	Isoform 4 of Doublesex- and mab-3-related transcription factor 1	Dmrt1
Q9QZ67	Protein phosphatase 1D	Ppm1d
Q9QZ73	DCN1-like protein 1	Dcun1d1
Q9QZ82	"Cholesterol side-chain cleavage enzyme, mitochondrial"	Cyp11a1
Q9QZ85	Interferon-inducible GTPase 1	Iigp1
Q9QZ88	Vacuolar protein sorting-associated protein 29	Vps29
Q9QZ88-2	Isoform 2 of Vacuolar protein sorting-associated protein 29	Vps29
Q9QZA0	"Carbonic anhydrase 5B, mitochondrial"	Ca5b
Q9QZB0	Regulator of G-protein signaling 17	Rgs17
Q9QZB1	Regulator of G-protein signaling 20	Rgs20
Q9QZB6	Nuclear receptor subfamily 4 group A member 3	Nr4a3
Q9QZB6-2	Isoform 2 of Nuclear receptor subfamily 4 group A member 3	Nr4a3
Q9QZB7	Actin-related protein 10	Actr10
Q9QZB9	Dynactin subunit 5	Dctn5
Q9QZC1	Short transient receptor potential channel 3	Trpc3
Q9QZC2	Plexin-C1	Plxnc1
Q9QZC7	Pleckstrin homology domain-containing family B member 2	Plekhb2
Q9QZC7-2	Isoform 2 of Pleckstrin homology domain-containing family B member 2	Plekhb2
Q9QZC7-3	Isoform 3 of Pleckstrin homology domain-containing family B member 2	Plekhb2
Q9QZC8	Protein ABHD1	Abhd1
Q9QZD4	DNA repair endonuclease XPF	Ercc4
Q9QZD5	Rab proteins geranylgeranyltransferase component A 2	Chml
Q9QZD8	Mitochondrial dicarboxylate carrier	Slc25a10
Q9QZD9	Eukaryotic translation initiation factor 3 subunit I	Eif3i
Q9QZE2	Cytokine-dependent hematopoietic cell linker	Clnk
Q9QZE2-2	Isoform 2 of Cytokine-dependent hematopoietic cell linker	Clnk
Q9QZE5	Coatomer subunit gamma-1	Copg1
Q9QZE7	Translin-associated protein X	Tsnax
Q9QZF2	Glypican-1	Gpc1
Q9QZH3	Peptidyl-prolyl cis-trans isomerase E	Ppie
Q9QZH6	"Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial"	Ecsit
Q9QZI8	Serine incorporator 1	Serinc1
Q9QZI9	Serine incorporator 3	Serinc3
Q9QZJ6	Microfibrillar-associated protein 5	Mfap5
Q9QZK2	Breast cancer anti-estrogen resistance protein 3 homolog	Bcar3
Q9QZK2-2	Isoform 2 of Breast cancer anti-estrogen resistance protein 3 homolog	Bcar3
Q9QZK7	Docking protein 3	Dok3
Q9QZL0	Receptor-interacting serine/threonine-protein kinase 3	Ripk3
Q9QZL6	Ubiquitin carboxyl-terminal hydrolase 21	Usp21
Q9QZL9	Dickkopf-like protein 1	Dkkl1
Q9QZM0	Ubiquilin-2	Ubqln2
Q9QZM2	"DNA polymerase subunit gamma-2, mitochondrial"	Polg2
Q9QZM3	Cardiotrophin-like cytokine factor 1	Clcf1
Q9QZM4	Tumor necrosis factor receptor superfamily member 10B	Tnfrsf10b
Q9QZM8	F-box only protein 17	Fbxo17
Q9QZM8-2	Isoform 2 of F-box only protein 17	Fbxo17
Q9QZM9	F-box only protein 16	Fbxo16
Q9QZN0	F-box only protein 15	Fbxo15
Q9QZN1	F-box/LRR-repeat protein 17	Fbxl17
Q9QZN1-2	Isoform 2 of F-box/LRR-repeat protein 17	Fbxl17
Q9QZN3	F-box only protein 8	Fbxo8
Q9QZN4	F-box only protein 6	Fbxo6
Q9QZQ0	Neuronal PAS domain-containing protein 3	Npas3
Q9QZQ1	Afadin	Afdn
Q9QZQ1-2	Isoform 1 of Afadin	Afdn
Q9QZQ3	Urotensin-2	Uts2
Q9QZQ8	Core histone macro-H2A.1	Macroh2a1
Q9QZQ8-2	Isoform 1 of Core histone macro-H2A.1	Macroh2a1
Q9QZR0	E3 ubiquitin-protein ligase RNF25	Rnf25
Q9QZR5	Homeodomain-interacting protein kinase 2	Hipk2
Q9QZR5-2	Isoform 2 of Homeodomain-interacting protein kinase 2	Hipk2
Q9QZR5-3	Isoform 3 of Homeodomain-interacting protein kinase 2	Hipk2
Q9QZR5-4	Isoform 4 of Homeodomain-interacting protein kinase 2	Hipk2
Q9QZR5-5	Isoform 5 of Homeodomain-interacting protein kinase 2	Hipk2
Q9QZR9	Collagen alpha-4(IV) chain	Col4a4
Q9QZR9-2	Isoform 2 of Collagen alpha-4(IV) chain	Col4a4
Q9QZS0	Collagen alpha-3(IV) chain	Col4a3
Q9QZS2	E3 ubiquitin-protein ligase RNF4	Rnf4
Q9QZS3	Protein numb homolog	Numb
Q9QZS3-2	Isoform 2 of Protein numb homolog	Numb
Q9QZS3-3	Isoform 3 of Protein numb homolog	Numb
Q9QZS3-4	Isoform 4 of Protein numb homolog	Numb
Q9QZS5	Serine/threonine-protein kinase Sgk2	Sgk2
Q9QZS5-2	Isoform 2 of Serine/threonine-protein kinase Sgk2	Sgk2
Q9QZS6	Heparan sulfate glucosamine 3-O-sulfotransferase 3B1	Hs3st3b1
Q9QZS7	Nephrin	Nphs1
Q9QZS7-2	Isoform 2 of Nephrin	Nphs1
Q9QZS8	SH2 domain-containing protein 3C	Sh2d3c
Q9QZS8-2	Isoform 2 of SH2 domain-containing protein 3C	Sh2d3c
Q9QZT4	Group IIF secretory phospholipase A2	Pla2g2f
Q9QZT4-2	Isoform 2 of Group IIF secretory phospholipase A2	Pla2g2f
Q9QZU4	Phospholipase A and acyltransferase 1	Plaat1
Q9QZU4-2	Isoform 2 of Phospholipase A and acyltransferase 1	Plaat1
Q9QZU5	Keratin-associated protein 15-1	Krtap15-1
Q9QZU9	Ubiquitin/ISG15-conjugating enzyme E2 L6	Ube2l6
Q9QZV9	NTF2-related export protein 1	Nxt1
Q9QZW0	Phospholipid-transporting ATPase 11C	Atp11c
Q9QZW0-2	Isoform 2 of Phospholipid-transporting ATPase 11C	Atp11c
Q9QZW9	Motor neuron and pancreas homeobox protein 1	Mnx1
Q9QZX7	Serine racemase	Srr
Q9QZX7-2	Isoform 2 of Serine racemase	Srr
Q9QZX7-3	Isoform 3 of Serine racemase	Srr
Q9QZZ4	Unconventional myosin-XV	Myo15a
Q9QZZ4-2	Isoform 2 of Unconventional myosin-XV	Myo15a
Q9QZZ4-3	Isoform 3 of Unconventional myosin-XV	Myo15a
Q9QZZ6	Dermatopontin	Dpt
Q9R000	Integrin beta-1-binding protein 2	Itgb1bp2
Q9R001	A disintegrin and metalloproteinase with thrombospondin motifs 5	Adamts5
Q9R002	Interferon-activable protein 202	Ifi202
Q9R007	C-type lectin domain family 5 member A	Clec5a
Q9R007-1	Isoform 1 of C-type lectin domain family 5 member A	Clec5a
Q9R007-2	Isoform 2 of C-type lectin domain family 5 member A	Clec5a
Q9R008	Mevalonate kinase	Mvk
Q9R013	Cathepsin F	Ctsf
Q9R014	Cathepsin J	Ctsj
Q9R016	Baculoviral IAP repeat-containing protein 1e	Naip5
Q9R020	Zinc finger Ran-binding domain-containing protein 2	Zranb2
Q9R020-2	Isoform 2 of Zinc finger Ran-binding domain-containing protein 2	Zranb2
Q9R022	DnaJ homolog subfamily C member 12	Dnajc12
Q9R045	Angiopoietin-related protein 2	Angptl2
Q9R049	E3 ubiquitin-protein ligase AMFR	Amfr
Q9R049-2	Isoform 2 of E3 ubiquitin-protein ligase AMFR	Amfr
Q9R053	Sodium channel protein type 11 subunit alpha	Scn11a
Q9R059	Four and a half LIM domains protein 3	Fhl3
Q9R060	Cytosolic Fe-S cluster assembly factor NUBP1	Nubp1
Q9R061	Cytosolic Fe-S cluster assembly factor NUBP2	Nubp2
Q9R062	Glycogenin-1	Gyg1
Q9R069	Basal cell adhesion molecule	Bcam
Q9R078	5'-AMP-activated protein kinase subunit beta-1	Prkab1
Q9R087	Glypican-6	Gpc6
Q9R088	"Thymidine kinase 2, mitochondrial"	Tk2
