Accession	Protein names	Gene names
A2AG58-2	Isoform 2 of BCLAF1 and THRAP3 family member 3	Bclaf3
A2AGA4	Rhomboid-related protein 2	Rhbdl2
A2AGB2	Uncharacterized protein C1orf87 homolog	Gm12695
A2AGH6	Mediator of RNA polymerase II transcription subunit 12	Med12
A2AGH6-2	Isoform 2 of Mediator of RNA polymerase II transcription subunit 12	Med12
A2AGH6-3	Isoform 3 of Mediator of RNA polymerase II transcription subunit 12	Med12
A2AGL3	Ryanodine receptor 3	Ryr3
A2AGL3-2	Isoform 2 of Ryanodine receptor 3	Ryr3
A2AGT5	Cytoskeleton-associated protein 5	Ckap5
A2AGT5-2	Isoform 2 of Cytoskeleton-associated protein 5	Ckap5
A2AGT5-3	Isoform 3 of Cytoskeleton-associated protein 5	Ckap5
A2AGX3	PR domain-containing protein 11	Prdm11
A2AH22	Activating molecule in BECN1-regulated autophagy protein 1	Ambra1
A2AH22-2	Isoform 2 of Activating molecule in BECN1-regulated autophagy protein 1	Ambra1
A2AH22-3	Isoform 3 of Activating molecule in BECN1-regulated autophagy protein 1	Ambra1
A2AH22-4	Isoform 4 of Activating molecule in BECN1-regulated autophagy protein 1	Ambra1
A2AH22-5	Isoform 5 of Activating molecule in BECN1-regulated autophagy protein 1	Ambra1
A2AH22-6	Isoform 6 of Activating molecule in BECN1-regulated autophagy protein 1	Ambra1
A2AH22-7	Isoform 7 of Activating molecule in BECN1-regulated autophagy protein 1	Ambra1
A2AHC3	Calmodulin-regulated spectrin-associated protein 1	Camsap1
A2AHC3-2	Isoform 2 of Calmodulin-regulated spectrin-associated protein 1	Camsap1
A2AHG0	Leucine zipper putative tumor suppressor 3	Lzts3
A2AHG0-2	Isoform 2 of Leucine zipper putative tumor suppressor 3	Lzts3
A2AHG0-3	Isoform 3 of Leucine zipper putative tumor suppressor 3	Lzts3
A2AHJ4	Bromodomain and WD repeat-containing protein 3	Brwd3
A2AHJ4-2	Isoform 2 of Bromodomain and WD repeat-containing protein 3	Brwd3
A2AHJ4-3	Isoform 3 of Bromodomain and WD repeat-containing protein 3	Brwd3
A2AHL1	Anoctamin-3	Ano3
A2AHL1-2	Isoform 2 of Anoctamin-3	Ano3
A2AI05	NADPH-dependent diflavin oxidoreductase 1	Ndor1
A2AI05-2	Isoform 2 of NADPH-dependent diflavin oxidoreductase 1	Ndor1
A2AI05-3	Isoform 3 of NADPH-dependent diflavin oxidoreductase 1	Ndor1
A2AI08	Taperin	Tprn
A2AIG8	1-aminocyclopropane-1-carboxylate synthase-like protein 1	Accs
A2AIG8-2	Isoform 2 of 1-aminocyclopropane-1-carboxylate synthase-like protein 1	Accs
A2AIL4	"NADH dehydrogenase (ubiquinone) complex I, assembly factor 6"	Ndufaf6
A2AIP0	Protein FAM166B	Fam166b
A2AIP0-2	Isoform 2 of Protein FAM166B	Fam166b
A2AIP0-3	Isoform 3 of Protein FAM166B	Fam166b
A2AIP0-4	Isoform 4 of Protein FAM166B	Fam166b
A2AIP0-5	Isoform 5 of Protein FAM166B	Fam166b
A2AIR5	"Glutamate receptor ionotropic, NMDA 3A"	Grin3a
A2AIR5-2	"Isoform 2 of Glutamate receptor ionotropic, NMDA 3A"	Grin3a
A2AIV2	Protein virilizer homolog	Virma
A2AIV2-2	Isoform 2 of Protein virilizer homolog	Virma
A2AIV8	Caspase recruitment domain-containing protein 9	Card9
A2AIW0	Endosome-associated-trafficking regulator 1	Entr1
A2AIW0-2	Isoform 2 of Endosome-associated-trafficking regulator 1	Entr1
A2AIW0-3	Isoform 3 of Endosome-associated-trafficking regulator 1	Entr1
A2AIW0-4	Isoform 4 of Endosome-associated-trafficking regulator 1	Entr1
A2AIW0-5	Isoform 5 of Endosome-associated-trafficking regulator 1	Entr1
A2AIW0-6	Isoform 6 of Endosome-associated-trafficking regulator 1	Entr1
A2AJ15	"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase"	Man1b1
A2AJ76	Hemicentin-2	Hmcn2
A2AJ76-2	Isoform 2 of Hemicentin-2	Hmcn2
A2AJ77	PR domain zinc finger protein 12	Prdm12
A2AJ88	Patatin-like phospholipase domain-containing protein 7	Pnpla7
A2AJ88-2	Isoform 2 of Patatin-like phospholipase domain-containing protein 7	Pnpla7
A2AJ88-3	Isoform 3 of Patatin-like phospholipase domain-containing protein 7	Pnpla7
A2AJA7	Apical endosomal glycoprotein	Mamdc4
A2AJA7-2	Isoform 2 of Apical endosomal glycoprotein	Mamdc4
A2AJA9	Apical junction component 1 homolog	Ajm1
A2AJA9-2	Isoform 2 of Apical junction component 1 homolog	Ajm1
A2AJB1	Coiled-coil domain-containing protein 183	Ccdc183
A2AJB1-2	Isoform 2 of Coiled-coil domain-containing protein 183	Ccdc183
A2AJB2	Transmembrane protein 141	Tmem141
A2AJB7	Epididymal-specific lipocalin-5	Lcn5
A2AJB7-2	Isoform 2 of Epididymal-specific lipocalin-5	Lcn5
A2AJB7-3	Isoform 3 of Epididymal-specific lipocalin-5	Lcn5
A2AJB7-4	Isoform 4 of Epididymal-specific lipocalin-5	Lcn5
A2AJI0	MAP7 domain-containing protein 1	Map7d1
A2AJI0-2	Isoform 2 of MAP7 domain-containing protein 1	Map7d1
A2AJK6	Chromodomain-helicase-DNA-binding protein 7	Chd7
A2AJK6-2	Isoform 2 of Chromodomain-helicase-DNA-binding protein 7	Chd7
A2AJK6-3	Isoform 3 of Chromodomain-helicase-DNA-binding protein 7	Chd7
A2AJL3	FGGY carbohydrate kinase domain-containing protein	Fggy
A2AJL3-2	Isoform 2 of FGGY carbohydrate kinase domain-containing protein	Fggy
A2AJN7	Solute carrier family 4 member 11	Slc4a11
A2AJQ3	Probable C-mannosyltransferase DPY19L4	Dpy19l4
A2AJQ3-2	Isoform 2 of Probable C-mannosyltransferase DPY19L4	Dpy19l4
A2AJT4	Arginine/serine-rich protein PNISR	Pnisr
A2AJX4	MAM and LDL-receptor class A domain-containing protein 1	Malrd1
A2AKB4	FERM and PDZ domain-containing protein 1	Frmpd1
A2AKB9	DDB1- and CUL4-associated factor 10	Dcaf10
A2AKB9-2	Isoform 2 of DDB1- and CUL4-associated factor 10	Dcaf10
A2AKB9-3	Isoform 3 of DDB1- and CUL4-associated factor 10	Dcaf10
A2AKB9-4	Isoform 4 of DDB1- and CUL4-associated factor 10	Dcaf10
A2AKE7	Actin-like protein 10	Actl10
A2AKG8	Focadhesin	Focad
A2AKG8-2	Isoform 2 of Focadhesin	Focad
A2AKG8-3	Isoform 3 of Focadhesin	Focad
A2AKK5	Acyl-coenzyme A amino acid N-acyltransferase 1	Acnat1
A2AKK5-2	Isoform 2 of Acyl-coenzyme A amino acid N-acyltransferase 1	Acnat1
A2AKM2	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 4	Hacd4
A2AKM2-2	Isoform 2 of Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 4	Hacd4
A2AKQ0	UDP-glucuronic acid/UDP-N-acetylgalactosamine transporter	Slc35d1
A2AKQ0-2	Isoform 2 of UDP-glucuronic acid/UDP-N-acetylgalactosamine transporter	Slc35d1
A2AKQ8	Tetratricopeptide repeat protein 30A2	Ttc30a2
A2AKX3	Probable helicase senataxin	Setx
A2AKX3-2	Isoform 2 of Probable helicase senataxin	Setx
A2AKY4	Zinc finger protein 804A	Znf804a
A2AL36	Centriolin	Cntrl
A2AL36-2	Isoform 2 of Centriolin	Cntrl
A2ALI5	Adherens junction-associated protein 1	Ajap1
A2ALK8	Tyrosine-protein phosphatase non-receptor type 3	Ptpn3
A2ALS5	Rap1 GTPase-activating protein 1	Rap1gap
A2ALS5-2	Isoform 2 of Rap1 GTPase-activating protein 1	Rap1gap
A2ALS5-3	Isoform 3 of Rap1 GTPase-activating protein 1	Rap1gap
A2ALS5-4	Isoform 4 of Rap1 GTPase-activating protein 1	Rap1gap
A2ALU4	Protein Shroom2	Shroom2
A2ALU4-2	Isoform 2 of Protein Shroom2	Shroom2
A2ALV5	Protein shortage in chiasmata 1 ortholog	Shoc1
A2ALW5	DnaJ homolog subfamily C member 25	Dnajc25
A2ALW5-2	Isoform 2 of DnaJ homolog subfamily C member 25	Dnajc25
A2AM05	Centlein	Cntln
A2AM05-2	Isoform 2 of Centlein	Cntln
A2AM05-3	Isoform 3 of Centlein	Cntln
A2AM05-4	Isoform 4 of Centlein	Cntln
A2AM29	Protein AF-9	Mllt3
A2AMM0	Caveolae-associated protein 4	Cavin4
A2AMT1	Filensin	Bfsp1
A2AMT1-2	Isoform 2 of Filensin	Bfsp1
